Date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,TCS.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,NAUKRI.BO
2020-09-08,38498.0703125,929.7000122070312,2093.800048828125,1115.800048828125,460.70001220703125,516.7999877929688,371.54998779296875,128.0500030517578,721.9000244140625,2330.5,16300.0,1164.0999755859375,38.900001525878906,440.04998779296875,13065.0,96.69999694824219,14.100000381469727,646.0,369.95001220703125,28.950000762939453,3400.0
2020-09-09,37988.55859375,930.0,2085.0,1101.0,440.0,494.3999938964844,369.29998779296875,124.8499984741211,701.5,2325.0,16002.0,1155.0,36.70000076293945,428.1000061035156,12651.0,94.55000305175781,13.789999961853027,635.5999755859375,369.79998779296875,28.5,3320.0
2020-09-10,38516.87890625,935.9000244140625,2185.0,1105.0,435.79998779296875,508.79998779296875,372.0,129.14999389648438,729.9000244140625,2329.0,16313.0,1170.0,37.29999923706055,445.0,12830.0,91.30000305175781,13.6899995803833,656.9000244140625,364.0,28.299999237060547,3355.0
2020-09-11,38865.171875,936.0,2314.64990234375,1094.0,445.20001220703125,498.0,372.5,130.5,728.9500122070312,2348.0,16370.0,1155.3499755859375,38.400001525878906,444.0,12905.0,91.0999984741211,14.399999618530273,644.0,363.1000061035156,29.0,3400.25
2020-09-14,39073.51171875,949.5,2319.75,1090.0,451.0,495.8999938964844,373.0,131.8000030517578,726.5,2377.0,16335.0,1168.0,38.5,445.25,12950.0,92.0,14.979999542236328,657.0,364.1000061035156,29.0,3390.0
2020-09-15,38904.671875,979.9500122070312,2315.0,1066.0,441.5,474.6499938964844,363.6499938964844,129.64999389648438,720.0,2487.5,16199.9501953125,1194.0,37.29999923706055,456.1000061035156,12900.0,92.05000305175781,14.850000381469727,695.0,370.0,29.200000762939453,3440.0
2020-09-16,39161.01171875,990.9500122070312,2323.699951171875,1069.75,449.0,487.70001220703125,372.70001220703125,132.5,749.0,2490.0,16065.900390625,1177.0,37.650001525878906,431.0,13268.599609375,92.69999694824219,14.649999618530273,688.7999877929688,369.0,28.049999237060547,3580.0
2020-09-17,39120.640625,996.0,2319.0,1088.0,442.0,481.0,369.5,134.0,753.0,2487.0,16240.0,1177.3499755859375,37.599998474121094,462.0,13280.0,91.5,14.020000457763672,686.0,365.6000061035156,28.0,3510.199951171875
2020-09-18,39200.421875,1015.9500122070312,2315.800048828125,1090.0,445.0,483.0,370.8500061035156,135.0,776.25,2480.0,16149.2998046875,1182.0,38.0,468.0,13000.0,91.0999984741211,14.069999694824219,699.0,365.5,27.549999237060547,3513.39990234375
2020-09-21,38812.69140625,1000.0,2305.0,1052.0,444.29998779296875,496.3999938964844,366.25,131.0,806.8499755859375,2460.0,16100.0,1168.0,37.599998474121094,460.0,13040.0,91.9000015258789,14.029999732971191,678.0,362.95001220703125,26.700000762939453,3468.0
