,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
47,2018-03-12,33468.160156,585.150024,918.900024,927.700012,506.049988,370.045685,294.299988,306.0,575.549988,2966.600098,7700.0,830.0,71.150002,652.0,18387.75,164.081284,305.0,632.0,312.049988,94.0,250.0
48,2018-03-13,33818.21875,588.099976,929.349976,929.650024,519.0,386.936859,300.700012,314.0,579.5,2975.0,7675.0,842.0,62.299999,645.0,18180.800781,168.843796,309.0,643.75,307.5,91.0,244.25
49,2018-03-14,33733.550781,589.5,926.549988,925.075012,527.200012,390.976074,301.049988,320.399994,579.25,2967.0,7700.0,852.0,65.900002,640.0,18380.699219,171.750046,313.0,640.0,308.399994,96.150002,247.800003
50,2018-03-15,33843.46875,590.0,928.700012,932.5,531.099976,386.477875,306.899994,320.0,580.700012,2946.0,7688.75,868.950012,77.050003,658.0,18344.0,171.750046,318.899994,641.0,302.799988,102.099998,247.800003
51,2018-03-16,33685.859375,592.400024,910.0,949.424988,532.900024,383.723877,302.799988,317.0,570.0,2949.100098,7730.0,872.0,79.099998,643.099976,18010.0,168.375046,313.950012,642.0,300.100006,102.0,251.0
52,2018-03-19,33268.96875,582.349976,903.799988,929.950012,521.150024,384.182861,298.100006,312.350006,565.0,2912.0,7711.100098,872.0,79.199997,630.0,17900.0,167.812546,320.0,629.150024,301.0,101.400002,251.75
53,2018-03-20,32876.480469,573.575012,899.099976,920.0,513.400024,367.19986,292.549988,284.850006,551.200012,2855.0,7694.5,869.0,72.0,610.0,17500.0,165.393784,304.0,621.349976,304.5,94.150002,241.100006
54,2018-03-21,33090.820313,581.549988,895.799988,927.5,520.599976,373.625854,294.549988,290.75,561.0,2875.0,7899.950195,871.25,75.699997,625.5,17933.5,168.112549,304.399994,610.0,321.0,97.5,251.0
55,2018-03-22,33206.988281,583.450012,896.5,931.400024,524.900024,381.199371,289.600006,287.25,549.5,2854.0,7840.0,875.049988,76.699997,612.0,17777.0,164.062546,302.0,611.0,325.75,96.0,241.75
56,2018-03-23,32650.890625,572.5,893.400024,927.5,511.0,376.379883,277.0,282.549988,540.0,2813.899902,7844.0,880.0,73.0,600.0,17250.0,164.21254,294.0,605.049988,321.899994,89.0,238.949997
